2778378;2016-07-13T11:37:00;2016-07-13T11:47:00;3040;3052;6121;Flex Pass;"{'longitude': '-118.26636', 'latitude': '34.0535698', 'needs_recoding': False}";"{'longitude': '-118.26456', 'latitude': '34.0511017', 'needs_recoding': False}"
2778227;2016-07-13T13:18:00;2016-07-13T13:28:00;3048;3054;6561;Monthly Pass;"{'longitude': '-118.23535', 'latitude': '34.0416908', 'needs_recoding': False}";"{'longitude': '-118.23649', 'latitude': '34.0392189', 'needs_recoding': False}"
2778030;2016-07-13T14:46:00;2016-07-13T14:53:00;3014;3016;5889;Monthly Pass;"{'longitude': '-118.23721', 'latitude': '34.0566101', 'needs_recoding': False}";"{'longitude': '-118.24156', 'latitude': '34.0528984', 'needs_recoding': False}"
2777797;2016-07-13T16:17:00;2016-07-13T16:22:00;3031;3029;6369;Monthly Pass;"{'longitude': '-118.25244', 'latitude': '34.0447006', 'needs_recoding': False}";"{'longitude': '-118.24642', 'latitude': '34.048851', 'needs_recoding': False}"
2777703;2016-07-13T18:15:00;2016-07-13T18:29:00;3020;3035;6717;Monthly Pass;"{'longitude': '-118.26709', 'latitude': '34.0310516', 'needs_recoding': False}";"{'longitude': '-118.26095', 'latitude': '34.0484009', 'needs_recoding': False}"
2777640;2016-07-13T19:52:00;2016-07-13T19:59:00;3032;3062;5767;Monthly Pass;"{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}";"{'longitude': '-118.24317', 'latitude': '34.0477486', 'needs_recoding': False}"
2821367;2016-07-14T00:14:00;2016-07-14T00:22:00;3051;3034;5810;Monthly Pass;"{'longitude': '-118.25352', 'latitude': '34.0454216', 'needs_recoding': False}";"{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}"
2887772;2016-07-14T08:49:00;2016-07-14T08:58:00;3030;3035;6491;Monthly Pass;"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}";"{'longitude': '-118.26095', 'latitude': '34.0484009', 'needs_recoding': False}"
2904762;2016-07-14T10:30:00;2016-07-14T10:34:00;3034;3019;6635;Monthly Pass;"{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}";"{'longitude': '-118.26086', 'latitude': '34.0386086', 'needs_recoding': False}"
2922250;2016-07-14T11:41:00;2016-07-14T12:03:00;3068;3028;6647;Monthly Pass;"{'longitude': '-118.25095', 'latitude': '34.0531998', 'needs_recoding': False}";"{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}"
2931066;2016-07-14T12:57:00;2016-07-14T13:10:00;3026;3007;6080;Monthly Pass;"{'longitude': '-118.24588', 'latitude': '34.063179', 'needs_recoding': False}";"{'longitude': '-118.25459', 'latitude': '34.0504799', 'needs_recoding': False}"
2948901;2016-07-14T15:13:00;2016-07-14T15:22:00;3063;3074;5870;Monthly Pass;"{'longitude': '-118.25283', 'latitude': '34.0491982', 'needs_recoding': False}";"{'longitude': '-118.26117', 'latitude': '34.0441704', 'needs_recoding': False}"
2966923;2016-07-14T17:30:00;2016-07-14T17:50:00;3042;3052;6541;Monthly Pass;"{'longitude': '-118.23881', 'latitude': '34.0493011', 'needs_recoding': False}";"{'longitude': '-118.26456', 'latitude': '34.0511017', 'needs_recoding': False}"
2976007;2016-07-14T18:51:00;2016-07-14T18:55:00;3028;3049;6647;Monthly Pass;"{'longitude': '-118.24609', 'latitude': '34.0583191', 'needs_recoding': False}";"{'longitude': '-118.25359', 'latitude': '34.0569687', 'needs_recoding': False}"
3003722;2016-07-14T20:45:00;2016-07-14T21:12:00;3025;3063;6393;Flex Pass;"{'longitude': '-118.26808', 'latitude': '34.0328598', 'needs_recoding': False}";"{'longitude': '-118.25283', 'latitude': '34.0491982', 'needs_recoding': False}"
